name,brand,rating_count,total_reviews,rating_value,price,seller_name,seller_location,seller_store_link
"MTR MT 310 IN GOLDEN COLOR WITH LONG BATTERY BACK UP, FM, BLUETOOTH, MULTI LANGUAGE SUPPORT, DUAL SIM MOBILE PHONE",MTR,16,2 Reviews,3.5,779,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"Second Hand (Refurbished) Redmi 10A (Sea Blue, 6 GB RAM, 128 GB Storage), - Superb Condition, Like New",Redmi,0,0,0,15000,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"Second Hand (Refurbished) Vivo Y67 (6GB RAM, 128GB Storage) - Superb Condition, Like New",Vivo,0,0,0,5999,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Nokia 1600 (Single Sim, 1.4 Inches Display, Assorted Color) - Superb Condition, Like New",NOKIA,34,2 Reviews,3.2,1449,Super Clone 44,"Gurgaon , Haryana",http://super-clone-44.shopclues.com
"Second Hand (Refurbished) Vivo Y85 (Black, 6 GB RAM, 128 GB Storage) - Superb Condition, Like New",Vivo,0,0,0,6999,SCSuperClone22,"Gurgaon , Haryana",http://scsuperclone22.shopclues.com
"(Refurbished) Samsung 310 (Dual Sim, 2 inches Display) -  Superb Condition, Like New",Samsung,3,0,2.7,1749,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"Second Hand (Refurbished) Vivo Y71 (6 GB RAM, 128 GB Storage) - Superb Condition, Like New",Vivo,0,0,0,6999,SCSuperClone22,"Gurgaon , Haryana",http://scsuperclone22.shopclues.com
"Second Hand (Refurbished) Vivo Y93 (Red, 6GB RAM, 128GB Storage) - Superb Condition, Like New",Vivo,0,0,0,6999,SCSuperClone22,"Gurgaon , Haryana",http://scsuperclone22.shopclues.com
"(Refurbished) Vivo Y17 - Superb Condition, Like New",Vivo,3,0,2,9999,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"MTR MT312 (Dual Sim, 1.8 Inch Display, 800 mAh Battery)",MTR,43,8 Reviews,3.4,679,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
